stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
f8581d,,Atanasio G. Sarabia,,19.36121360528121,-99.11033997955424,,,0,,,0,,
f8581e,,San Bartolo,,19.49193756664191,-99.13911487710753,,,0,,,0,,
f8581f,,UAM Azcapotzalco,,19.50396096719146,-99.1838580942578,,,0,,,0,,
f85820,,ESIME Culhuacán,,19.329185458249384,-99.11354273557664,,,0,,,0,,
f85821,,San Juan de Aragón L6,,19.47869542400452,-99.09721891185188,,,0,,,0,,
f85822,,Tepalcates,,19.39081533747767,-99.04749482316643,,,0,,,0,,
f85823,,Morelos,,19.43582949514625,-99.11886129087172,,,0,,,0,,
f85824,,Buenavista L4,,19.444814144304186,-99.15234348157216,,,0,,,0,,
f85825,,Río Mayo,,19.38689466145514,-99.07997445243926,,,0,,,0,,
f85826,,La Merced,,19.42552270446987,-99.12583563729942,,,0,,,0,,
f85827,,Cañaverales,,19.295663729437415,-99.11447882652284,,,0,,,0,,
f85828,,Martín Carrera,,19.48199187801027,-99.10537962971588,,,0,,,0,,
f85829,,República de Chile.,,19.43794863320294,-99.13531940895568,,,0,,,0,,
f8582a,,La Diana.,,19.42467046910243,-99.17242765233743,,,0,,,0,,
f8582b,,Calzada Taxqueña,,19.3386548846335,-99.11293345965639,,,0,,,0,,
f8582d,,Mercado Beethoven,,19.45760857324631,-99.12904435428398,,,0,,,0,,
f8582e,,Hospital Balbuena.,,19.42495641558283,-99.11475777626038,,,0,,,0,,
f8582f,,Museo San Carlos,,19.43802059990666,-99.14981512534365,,,0,,,0,,
f85830,,Pantitlán,,19.41697091658807,-99.07342103775727,,,0,,,0,,
f85831,,Excélsior,,19.472226262443414,-99.123664307691,,,0,,,0,,
f85833,,Hidalgo L7,,19.43772942933604,-99.14643753385796,,,0,,,0,,
f85836,,Tepetlapa,,19.31627104403415,-99.11163683559967,,,0,,,0,,
f85837,,Bellas Artes.,,19.43634420642639,-99.1417623615778,,,0,,,0,,
f85838,,Auditorio,,19.42630298441012,-99.19468150478026,,,0,,,0,,
f85839,,La Patera,,19.50371069154075,-99.15722099367268,,,0,,,0,,
f8583a,,Juárez L4.,,19.43125977085409,-99.14770930427454,,,0,,,0,,
f8583b,,Francisco Morazán,,19.4669759456913,-99.06181046443874,,,0,,,0,,
f8583c,,Av. Talismán,,19.47908069711129,-99.1209256469118,,,0,,,0,,
f8583d,,Glorieta de Colón L7.,,19.43397457789296,-99.1526677741595,,,0,,,0,,
f8583e,,5 de Mayo,,19.49714584571807,-99.09043282270433,,,0,,,0,,
f8583f,,Río de Guadalupe,,19.4760789329676,-99.09931976274011,,,0,,,0,,
f85841,,Canal del Norte,,19.44960011756692,-99.11035320052305,,,0,,,0,,
f85842,,Teatro Blanquita,,19.43844815614136,-99.13901945332316,,,0,,,0,,
f85843,,De la Salle,,19.40761148131642,-99.18348982801137,,,0,,,0,,
f85844,,Calzada del Hueso,,19.30148104933729,-99.11340870428452,,,0,,,0,,
f85845,,Archivo General de la Nación L4,,19.43546720037218,-99.11550163721292,,,0,,,0,,
f85846,,Nicolás Bravo.,,19.39350347486558,-99.050926196446,,,0,,,0,,
f85847,,Cecilio Robelo.,,19.42555623132225,-99.11974173327776,,,0,,,0,,
f85848,,Alcaldía Cuauhtémoc,,19.44264202839022,-99.15244122399686,,,0,,,0,,
f85849,,Loreto Fabela,,19.4672977345385,-99.08093376225192,,,0,,,0,,
f8584a,,Clave,,19.46488002944004,-99.1262639400496,,,0,,,0,,
f8584c,,Río Santa Coleta,,19.45610203934556,-99.10757952486773,,,0,,,0,,
f8584e,,Escandón,,19.40438170723944,-99.17386315759502,,,0,,,0,,
f8584f,,Cafetales,,19.33393993789333,-99.1130847862855,,,0,,,0,,
f85850,,Mercados de San Juan.,,19.430832413640292,-99.14483064436878,,,0,,,0,,
f85851,,Centro SCOP,,19.39527340571535,-99.146698332653,,,0,,,0,,
f85852,,Eduardo Molina,,19.42710005339384,-99.1153572654496,,,0,,,0,,
f85853,,Defensoría Pública,,19.43337237650243,-99.15095560601901,,,0,,,0,,
f85854,,Río Frío,,19.38762676791664,-99.07427191426662,,,0,,,0,,
f85855,,Mercado Sonora Sur.,,19.42308664824813,-99.12668327218519,,,0,,,0,,
f85858,,Tres Culturas,,19.45088155847964,-99.13277779993668,,,0,,,0,,
f8585a,,Vista Hermosa,,19.306673020002428,-99.11180734634401,,,0,,,0,,
f8585b,,Eje Central,,19.43040239487294,-99.14199297520497,,,0,,,0,,
f8585c,,Auditorio.,,19.425869574073836,-99.19376760721208,,,0,,,0,,
f8585d,,Goma,,19.39686113826173,-99.10006103636684,,,0,,,0,,
f8585f,,Colegio de Bachilleres 9,,19.4697695512927,-99.06486888101176,,,0,,,0,,
f85860,,Av. Talismán.,,19.47831814056366,-99.12110989808147,,,0,,,0,,
f85862,,UPIICSA,,19.39388378792517,-99.09037307831852,,,0,,,0,,
f85863,,San Lázaro L4 Ote,,19.43051420139995,-99.11511446661133,,,0,,,0,,
697b06,,Hospital la Raza,,19.4679596580588,-99.14390852670995,,,0,,,0,,
697b07,,Circuito L3,,19.46334219924529,-99.1441892007768,,,0,,,0,,
697b08,,Tolnáhuac,,19.46001684062002,-99.14410904995664,,,0,,,0,,
697b09,,Tlatelolco,,19.45549884507741,-99.14504122737199,,,0,,,0,,
697b0a,,Ricardo Flores Magón,,19.45185897262619,-99.14598052188497,,,0,,,0,,
697b0b,,Guerrero,,19.44607193952419,-99.14726821197756,,,0,,,0,,
697b0c,,Buenavista L3 Norte,,19.4462663247002,-99.15186882019044,,,0,,,0,,
697b0d,,Mina,,19.44061027832123,-99.14849891099419,,,0,,,0,,
697b0e,,Hidalgo L3,,19.43599239734298,-99.14726910536872,,,0,,,0,,
697b0f,,Juárez L3,,19.43161579927953,-99.14795204658719,,,0,,,0,,
697b10,,Balderas,,19.42803123052508,-99.14870111486628,,,0,,,0,,
697b11,,Cuauhtémoc,,19.42495471505716,-99.15368419092368,,,0,,,0,,
697b12,,Jardín Pushkin,,19.42045615138886,-99.1540355829869,,,0,,,0,,
697b13,,Hospital General,,19.41443657880767,-99.15452357668178,,,0,,,0,,
697b14,,Doctor Márquez,,19.41111860298619,-99.15478142701357,,,0,,,0,,
697b15,,Centro Médico,,19.40731720822523,-99.15506623342795,,,0,,,0,,
697b16,,Obrero Mundial,,19.40111877560081,-99.15555617790422,,,0,,,0,,
697b17,,Etiopía L3,,19.39699601797086,-99.15585251940153,,,0,,,0,,
697b18,,Luz Saviñón,,19.391494852300905,-99.1563642024994,,,0,,,0,,
697b19,,Eugenia,,19.38580262042498,-99.15719174119745,,,0,,,0,,
697b1a,,División del Norte,,19.380422965925366,-99.1587781906128,,,0,,,0,,
697b1b,,Tenayuca,,19.528580256615665,-99.17009498309568,,,0,,,0,,
697b1c,,San José de la Escalera,,19.52284551981924,-99.16553223742903,,,0,,,0,,
697b1d,,Progreso Nacional,,19.51973102531605,-99.16375755812645,,,0,,,0,,
697b1e,,Tres Anegas,,19.51553462321563,-99.16193811033368,,,0,,,0,,
697b27,,Miguel Laurent,,19.374901922322366,-99.16020780801774,,,0,,,0,,
697b28,,Pueblo Sta. Cruz Atoyac,,19.37176683765246,-99.1609561443329,,,0,,,0,,
542ae9,,La Raza L3,,19.46728943839173,-99.1409392869112,,,0,,,0,,
bfc9a0,,Montevideo L6,,19.49486140385348,-99.15306176315282,,,0,,,0,,
e88c44,,La Raza L1,,19.46893328071212,-99.138741821136,,,0,,,0,,
e88cba,,C.C Universitario,,19.315140227263598,-99.18754220008852,,,0,,,0,,
9c45f7,,Buenavista L4.,,19.445370496337084,-99.15173956695763,,,0,,,0,,
80cc0b,,Defensoría Pública.,,19.43322033809,-99.15058215583875,,,0,,,0,,
b50ecd,,San Pablo.,,19.42536180082359,-99.13074356254411,,,0,,,0,,
